date,name,value
1/1/2019,Romania,3029
1/1/2019,Spain,25808
1/1/2019,Sweden,8985
1/1/2020,Austria,3120
1/1/2020,Belgium,4719
1/1/2020,Bulgaria,691
1/1/2020,Croatia,803
1/1/2020,Czech Republic,337
1/1/2020,Denmark,6180
1/1/2020,Finland,2586
1/1/2020,France,17949
1/1/2020,Germany,62580
1/1/2020,Greece,4113
1/1/2020,Hungary,329
1/1/2020,Ireland,4351
1/1/2020,Italy,10852
1/1/2020,Lithuania,548
1/1/2020,Netherlands,6784
1/1/2020,Poland,6614
1/1/2020,Portugal,5486
1/1/2020,Romania,3029
1/1/2020,Spain,27264
1/1/2020,Sweden,9992
1/1/2021,Austria,3300
1/1/2021,Belgium,5002
1/1/2021,Bulgaria,707
1/1/2021,Croatia,990
1/1/2021,Czech Republic,337
1/1/2021,Denmark,7178
1/1/2021,Finland,3328
1/1/2021,France,19081
1/1/2021,Germany,64040
1/1/2021,Greece,4452
1/1/2021,Hungary,329
1/1/2021,Ireland,4405
1/1/2021,Italy,11108
1/1/2021,Lithuania,668
1/1/2021,Netherlands,8165
1/1/2021,Poland,7116
1/1/2021,Portugal,5612
1/1/2021,Romania,3029
1/1/2021,Spain,28196
1/1/2021,Sweden,12097
